title,target,theme,kind,href,desc
Anamnese Interativa,Adultos,Documentos e condução clínica,Ferramenta destacada,aprovadas/anamnese-interativa/index.html,Roteiro interativo para organizar informações iniciais do atendimento.
Anamnese Interativa,Adultos,Documentos e condução clínica,Ferramenta clínica,classica_original/1consultorio/1anamnese/index.html,Roteiro interativo para organizar informações iniciais do atendimento.
Anamnese Profissional,Adultos,Documentos e condução clínica,Atividade lúdica,aventura_original/1consultorio/1anamnese/index.html,Roteiro interativo para organizar informações iniciais do atendimento.
Banco de Perguntas Clínicas,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_074_banco_de_perguntas_clinicas.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Checklist de Objetivos,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_072_checklist_de_objetivos.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Devolutiva Simples,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_069_devolutiva_simples.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Guia de Encaminhamento,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_071_guia_de_encaminhamento.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Planejador de Sessão,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_067_planejador_de_sessao.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Plano Terapêutico Visual,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_070_plano_terapeutico_visual.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Prontuário Eletrônico,Adultos,Documentos e condução clínica,Ferramenta clínica,classica_original/1consultorio/3prontuario/index.html,Modelo digital para registro e organização clínica.
Prontuário Eletrônico,Adultos,Documentos e condução clínica,Atividade lúdica,aventura_original/1consultorio/3prontuario/index.html,Modelo digital para registro e organização clínica.
Registro de Evolução,Adultos,Documentos e condução clínica,Ferramenta interativa,novas_v711_estavel/CEL_068_registro_de_evolucao.html,"Ferramenta interativa para apoiar psicoeducação, conversa e registro em sessão."
Relatório de Observação,Adultos,Documentos e condução clínica,Ferramenta clínica,classica_original/1consultorio/4relatorio/index.html,Apoio para estruturar observações e registros profissionais.
Relatório de Observação Comportamental,Adultos,Documentos e condução clínica,Atividade lúdica,aventura_original/1consultorio/4relatoriooc/index.html,Apoio para estruturar observações e registros profissionais.
